1,"Mleko spożywcze 3,5% tłuszczu",64,3.3,3.5,4.8
2,"Mleko spożywcze 3,2% tłuszczu",61,3.3,3.2,4.8
3,Mleko spożywcze 2% tłuszczu,51,3.4,2.0,4.9
4,"Mleko spożywcze 1,5% tłuszczu",47,3.4,1.5,5.0
5,"Mleko spożywcze 0,5% tłuszczu",39,3.5,0.5,5.1
6,Mleko kobiece,72,1.3,4.3,7.0
7,Mleko kozie,68,3.2,4.1,4.5
8,Mleko owcze,107,6.0,7.0,5.1
9,Mleko w proszku odtłuszczone,360,35.7,0.8,51.2
10,Mleko w proszku pełne,479,27.0,24.0,38.7
11,Mleko zagęszczone niesłodzone,131,6.6,7.5,9.4
12,Mleko zagęszczone słodzone,326,7.5,8.0,55.3
13,"Mleko UHT 3,2% tłuszczu",61,3.3,3.2,4.8
14,"Mleko UHT 1,5% tłuszczu",47,3.4,1.5,5.0
15,"Mleko UHT 0,5% tłuszczu",39,3.5,0.5,5.1
16,Śmietanka kremowa 30% tłuszczu,287,2.2,30.0,3.1
17,Śmietana 18% tłuszczu,184,2.5,18.0,3.6
18,Śmietana 12% tłuszczu,133,2.7,12.0,3.9
19,Śmietanka do kawy 9% tłuszczu,107,2.8,9.0,4.0
20,Jogurt naturalny 2% tłuszczu,60,4.3,2.0,6.2
21,"Jogurt bananowy 1,5% tłuszczu",70,3.7,1.5,10.4
22,"Jogurt jagodowy 1,5% tłuszczu",62,3.7,1.5,8.8
23,"Jogurt morelowy 1,5% tłuszczu",63,3.7,1.5,8.9
24,"Jogurt truskawkowy 1,5% tłuszczu",60,3.7,1.5,8.2
25,"Jogurt wiśniowy 1,5% tłuszczu",61,3.7,1.5,8.2
26,Kefir 2% tłuszczu,51,3.4,2.0,4.7
27,"Maślanka spożywcza 0,5% tłuszczu",37,3.4,0.5,4.7
28,Napój mleczny jogurtowy,82,4.0,1.9,12.1
29,Napój mleczny kakaowy,81,3.3,2.1,12.1
30,Napój mleczny serwatkowo-śmietankowy,74,0.9,2.2,12.4
31,Napój mleczny śmietankowy,63,3.5,0.5,10.9
32,Serwatka płynna,25,0.8,0.1,5.1
33,"Ser Brie pełnotłusty",329,19.8,28.0,0.2
34,"Ser Camembert pełnotłusty",291,21.4,23.0,0.2
35,"Ser Cheddar pełnotłusty",391,27.1,31.7,0.1
36,"Ser Edamski tłusty",313,26.1,23.4,0.1
37,"Ser Ementaler pełnotłusty",380,28.8,29.7,0.1
38,"Ser Gouda tłusty",316,27.9,22.9,0.1
